Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Blazor.Diagrams.Algorithms\Blazor.Diagrams.Algorithms.csproj,File,src\Blazor.Diagrams.Algorithms\Blazor.Diagrams.Algorithms.csproj,,,,,,,,Current target framework: net10.0;net9.0;net8.0;net7.0;net6.0 Recommended target framework: net10.0;net9.0;net8.0;net7.0;net6.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Blazor.Diagrams.Core\Blazor.Diagrams.Core.csproj,File,src\Blazor.Diagrams.Core\Blazor.Diagrams.Core.csproj,,,,,,,,Current target framework: net10.0;net9.0;net8.0;net7.0;net6.0 Recommended target framework: net10.0;net9.0;net8.0;net7.0;net6.0;net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,tests\Blazor.Diagrams.Core.Tests\Blazor.Diagrams.Core.Tests.csproj,File,tests\Blazor.Diagrams.Core.Tests\Blazor.Diagrams.Core.Tests.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,tests\Blazor.Diagrams.Core.Tests\Blazor.Diagrams.Core.Tests.csproj,File,tests\Blazor.Diagrams.Core.Tests\Blazor.Diagrams.Core.Tests.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Blazor.Diagrams.Core.Tests\Blazor.Diagrams.Core.Tests.csproj,File,tests\Blazor.Diagrams.Core.Tests\Blazor.Diagrams.Core.Tests.csproj,,,,,,,,Current target framework: net10.0;net9.0;net8.0;net7.0;net6.0 Recommended target framework: net10.0;net9.0;net8.0;net7.0;net6.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Blazor.Diagrams\Blazor.Diagrams.csproj,File,src\Blazor.Diagrams\Blazor.Diagrams.csproj,,,Microsoft.AspNetCore.Components 10,,,,,"Microsoft.AspNetCore.Components, 10  Recommendation:  Remove Microsoft.AspNetCore.Components, and replace with new package Microsoft.AspNetCore.Components 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Blazor.Diagrams\Blazor.Diagrams.csproj,File,src\Blazor.Diagrams\Blazor.Diagrams.csproj,,,Microsoft.AspNetCore.Components.Web 10,,,,,"Microsoft.AspNetCore.Components.Web, 10  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Blazor.Diagrams\Blazor.Diagrams.csproj,File,src\Blazor.Diagrams\Blazor.Diagrams.csproj,,,,,,,,Current target framework: net10.0;net9.0;net8.0;net7.0;net6.0 Recommended target framework: net10.0;net9.0;net8.0;net7.0;net6.0;net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,tests\Blazor.Diagrams.Tests\Blazor.Diagrams.Tests.csproj,File,tests\Blazor.Diagrams.Tests\Blazor.Diagrams.Tests.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,tests\Blazor.Diagrams.Tests\Blazor.Diagrams.Tests.csproj,File,tests\Blazor.Diagrams.Tests\Blazor.Diagrams.Tests.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Blazor.Diagrams.Tests\Blazor.Diagrams.Tests.csproj,File,tests\Blazor.Diagrams.Tests\Blazor.Diagrams.Tests.csproj,,,,,,,,Current target framework: net10.0;net9.0;net8.0;net7.0;net6.0 Recommended target framework: net10.0;net9.0;net8.0;net7.0;net6.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\CustomNodesLinks\CustomNodesLinks.csproj,File,docs\CustomNodesLinks\CustomNodesLinks.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
